registration_dttm,id,first_name,last_name,email,gender,ip_address,cc,country,birthdate,salary,title,comments
2016-02-03T13:36:39Z,1,Donald,Lewis,dlewis0@clickbank.net,Male,102.22.124.20,,Indonesia,7/9/1972,140249.37,Senior Financial Analyst,
2016-02-03T00:22:28Z,2,Walter,Collins,wcollins1@bloglovin.com,Male,247.28.26.93,3587726269478025,China,,$9.28,,
2016-02-03T18:29:04Z,3,Michelle,Henderson,mhenderson2@geocities.jp,Female,193.68.146.150,,France,1/15/1964,236219.26,Teacher,
2016-02-03T13:42:19Z,4,Lori,Hudson,lhudson3@dion.ne.jp,,34.252.168.48,3568840151595649,Russia,4/22/1988,,Nuclear Power Engineer,
2016-02-03T00:15:29Z,5,Howard,Miller,hmiller4@fema.gov,Male,103.193.150.230,3583473261055014,France,11/26/1998,50210.02,Senior Editor,
2016-02-03T10:49:07Z,6,Frances,Adams,fadams5@123-reg.co.uk,Female,106.196.106.93,,Russia,3/27/1997,82175.77,Account Coordinator,
2016-02-03T19:44:12Z,7b,Steven,Hanson,shanson6@cisco.com,Male,234.130.172.185,3550842607768119,Indonesia,,129582.61,,
2016-02-03T08:11:34Z,8,Louis,Simmons,lsimmons7@icio.us,Male,18.69.80.15,,China,6/1/1992,90744.86,Product Engineer,
2016-02-03T23:56:51Z,9,Keith,Parker,kparker8@amazonaws.com,Male,108.205.40.64,,Guadeloupe,12/30/1992,60618.9,Developer II,
2016-02-03T07:47:29Z,10,Wanda,Walker,wwalker9@latimes.com,Female,246.214.98.78,3539421569669478,Portugal,,137664.53,,
2016-02-03T16:39:23Z,11,Kathryn,Weaver,kweavera@bizjournals.com,Female,157.237.161.75,201425019338900,Sweden,,117572.65,,
2016-02-03T06:50:56Z,12,Philip,Ward,pwardb@sakura.ne.jp,Male,77.140.225.69,201508031789224,Greece,9/3/1984,238925.79,Human Resources Manager,
